Time;Size1;Count1 (TC);Size2;Count2 (TC);Size3;Count3 (TC);Size4;Count4 (TC);Size5;Count5 (TC);Size6;Count6 (TC);AT (C);RH (%);Location;Seconds;A1Size;A2Size;Status;
2023-02-01 17:05:10;0,3;3294;0,5;2394;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:11;0,3;3248;0,5;2278;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:12;0,3;3258;0,5;2364;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:13;0,3;3315;0,5;2387;1;2;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:14;0,3;3329;0,5;2563;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:15;0,3;3519;0,5;2526;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:16;0,3;3316;0,5;2337;1;2;1,5;1;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:17;0,3;3305;0,5;2436;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:18;0,3;3285;0,5;2447;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:19;0,3;3215;0,5;2446;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:20;0,3;3189;0,5;2363;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:21;0,3;3447;0,5;2341;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:22;0,3;3314;0,5;2339;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:23;0,3;3388;0,5;2468;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:24;0,3;3113;0,5;2137;1;0;1,5;0;2;0;2,5;0;;;422;1;;;0;
2023-02-01 17:05:25;0,3;3406;0,5;2329;1;1;1,5;0;2;0;2,5;0;;;422;1;;;0;
