,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
55.0,4.140388149366862e-07,4.4699881499554673e-07,2.428273771279488e-06,4.2928141638620826e-07,2.8050268959610427e-07,7.085268713131687e-07,3.8924779425390465e-07,2.0561413529773792e-07,2.658564572788137e-07,4.353410712986313e-07,2.833241235392795e-07,4.5508632734979025e-07,1.2292914616524907e-06,2.699562228873971e-07,6.74268424807635e-07,7.848282301285057e-07,6.274025454093565e-07,6.522810892994012e-07,3.6004216421940403e-07,2.790955715595102e-07,3.237017923324774e-07,6.146618077311976e-07,6.579594554680212e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56.0,2.983403072850855e-07,4.013481536362511e-07,3.914764252073491e-07,1.70506572337316e-07,3.023828905821141e-07,4.6041234127385274e-07,4.513996460594731e-07,1.3936767675301444e-06,6.476111689390295e-07,3.976014310037592e-07,1.2968022344492067e-07,7.40446363961867e-07,7.691055005258214e-07,2.814690764230964e-07,2.7147220893377476e-06,2.9526922300082235e-06,6.026834993218765e-07,6.821276843352536e-07,3.839059352021917e-07,2.6375797415177675e-07,2.2956718749209313e-07,3.267069389152096e-07,3.740934648458333e-07,3.1174857380364356e-07,4.2720800759792537e-07,2.353837070342364e-07,2.3291889300408135e-07,2.547630217547814e-07,2.8955630459408603e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,7.547699501027193e-07,3.416263361134506e-07,7.564311478532158e-07,3.231223854041531e-07,4.319975411603349e-07,2.3570020719190229e-07,6.71892876069219e-07,3.5901154326842673e-06,3.908793579660509e-07,3.885035429951323e-07,2.7446380364247514e-07,2.4401619539006396e-07,1.0915049859816115e-06,3.255419242621907e-07,3.948668904908076e-07,4.429595955953982e-07,2.6758843301937647e-07,2.5736902227999344e-07,4.102629523921214e-07,3.800714481849137e-07,4.524013103851097e-07,2.042715237414377e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.0,5.868400378582219e-07,2.8195255171951166e-07,2.7273861258041973e-07,4.389287426105131e-07,6.785635887528288e-07,3.0908890289685533e-06,9.589986834524063e-07,4.3800168093152357e-07,4.18759885778206e-07,3.987766524218041e-07,8.007302476228795e-07,9.044217922188822e-07,3.467931570602928e-07,1.4916589820348318e-06,1.5766559984804247e-06,3.312722072826741e-07,3.894302883727614e-07,2.7391891328327713e-07,4.6862787916501453e-07,2.4956767796387455e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.0,9.295936082910154e-07,5.79299312468919e-07,2.608848251637751e-07,3.577367509814323e-07,2.9699095804852344e-06,6.143332626558055e-07,4.030565733831292e-07,3.6717674477775415e-07,4.0581147536820364e-07,7.96089790000004e-07,4.466426705578391e-07,4.433843090837058e-07,4.680957935915325e-07,2.872603174193928e-07,6.666747162283884e-07,3.91943230025494e-07,3.3893847542533147e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,3.798353965116908e-07,8.577464571826788e-07,4.4604191828620636e-07,4.014549141037728e-07,2.8433475641785824e-07,3.656513852928013e-07,2.3832015181695353e-07,3.4531620675096567e-07,4.5907561866560536e-07,4.4638462143718265e-07,7.216220721297517e-07,4.831593737199126e-07,7.229573674657726e-07,8.33739848075805e-07,6.291333075914175e-07,1.5907618232997823e-06,4.110511332979347e-07,4.568035116903561e-07,3.0045302703344028e-06,2.880596486057007e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.0,2.115490064888034e-06,4.776001406018619e-07,6.26627255553871e-07,3.5052819216769935e-07,4.4401733187924427e-07,3.4423455014920035e-07,2.4322060948452246e-06,3.8953925802619337e-07,4.038088867297429e-07,2.8748326302556987e-07,2.8469033476356096e-07,5.244562871152777e-07,5.672271027559946e-07,1.2511006929738228e-07,8.793030833785436e-07,4.610415334723958e-07,1.5281816957281009e-06,3.8743094401616415e-07,1.1111901870431056e-07,1.5976660922860536e-06,1.5981444615585787e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,5.103209240638633e-07,4.4162211152346884e-07,4.5612938630915087e-07,6.484348093527077e-07,7.344746845451614e-07,7.149823735737508e-07,4.5463401719650344e-07,7.675654390441654e-08,5.938532586741643e-07,5.666183319713827e-07,8.015771470904138e-07,7.425319161005329e-08,4.6249351323314115e-07,5.115385467460863e-07,5.84443123801467e-07,4.999089567574453e-07,9.428369543619232e-07,5.14024376227881e-07,5.486347449437891e-07,2.667634690645143e-07,8.032087178696637e-07,7.956214027751309e-07,1.5857447306371343e-06,3.0149323946373977e-07,3.8532985520005613e-07,4.2093746644156614e-07,3.496884080508358e-07,4.30405246411078e-07,6.300808165826333e-07,7.727853219810977e-07,1.5362529167334567e-06,4.736801072411717e-07,3.9386158493783195e-07,7.929635816409291e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,4.1543209786423263e-07,9.615988952143448e-07,6.987412207886527e-07,8.080362309135548e-07,5.468124208046556e-07,4.986532188200469e-07,4.549331206724404e-07,3.5115938811750277e-07,3.05958467567255e-07,8.116816042463187e-07,5.700775089009129e-07,1.6012000298692443e-06,8.414761065778191e-07,1.3976126482675565e-07,4.845822228905814e-07,3.9362304131845254e-07,2.453592296960066e-07,2.667511188344768e-07,2.8617117224941594e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,2.4929153171744637e-06,3.5585634764977173e-07,4.7574672099182023e-07,3.9227142917356483e-07,5.593811432447045e-07,1.199233812537709e-07,5.049401379185576e-07,6.2321199115792e-07,1.0181937490000495e-06,2.92273987967689e-07,2.212192659983364e-06,8.80854696902814e-07,9.025930267441537e-07,2.619560927768051e-07,4.6313117472635157e-07,4.591701246753012e-07,4.293468089190957e-07,1.6965741942705669e-06,7.933522347845906e-07,4.09807721930515e-07,4.3182481368504785e-07,7.562015951079449e-08,4.3599573596220865e-07,7.665953971026257e-08,3.025162377452456e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
