,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
75.0,8.013248639419981e-07,6.666707347978625e-07,1.7028908430989586e-07,2.4367595288921356e-06,9.328250352079191e-07,5.12917667054356e-07,8.521594474334558e-07,9.809407863572962e-07,9.708053322291236e-07,1.105653715643622e-06,3.274536833588324e-07,8.142718252747551e-07,8.334821743461968e-07,2.850751827655879e-07,1.987024719526101e-06,3.4740755844638276e-07,3.734868995153551e-07,3.9240456317206434e-07,4.338751708951363e-07,4.447791935919948e-07,2.898740857977411e-07,3.6617245969165264e-06,9.924039941640581e-07,2.4160721349477387e-07,2.1179894719924713e-07,2.1975135371924027e-07,2.278191009132532e-07,8.667760755208332e-08,8.57822163438585e-08,8.880043255208332e-07,1.7932399877200434e-06,1.445187305918383e-06,1.8159897609715006e-06,7.772906957335117e-07,4.1707667341251307e-07,2.375093558919271e-07,2.209033193251755e-06,1.3998349070920398e-07,1.305729621739977e-05,1.3239792361893364e-05,5.511715800835341e-07,1.1752923547294375e-06,1.7385695705337946e-07,8.491699377064602e-06,3.7834631644035424e-07,3.7109727835302455e-07,7.391509796215929e-06,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,1.2126881101049509e-06,2.3354293187934027e-07,8.372838302408854e-08,1.4558825392238109e-06,1.0721977153195457e-06,7.785542788200426e-07,9.972960390336097e-06,1.3707132061543266e-06,4.5039946069698684e-07,3.55782296782581e-07,1.2670238355891094e-06,1.7929588333333332e-06,5.248461041299272e-07,1.4005183850919741e-07,8.717332924533418e-08,1.3911680461478034e-07,1.003112954327227e-06,1.4139916979762397e-07,1.3451857414102254e-05,2.1440013981707717e-07,3.386985312983137e-07,3.51516738745458e-07,3.630677459430852e-07,3.7126244526167503e-07,5.253338030702885e-07,4.952999305360188e-07,4.450047134008974e-07,4.797084003506471e-07,2.58110984781452e-06,2.707773169825537e-06,3.030593187385073e-07,1.449865796934118e-06,2.41235376859816e-07,1.36863286524023e-07,2.466631211493063e-06,6.552574913418525e-07,8.723579627560514e-07,6.672240268479392e-07,9.25792987847222e-08,4.485564583334408e-07,2.407192653795137e-07,6.728797428091825e-07,1.4407086588541668e-07,4.02225403006599e-06,1.5525012530732465e-05,4.270388970345872e-07,1.7277876613304341e-06,1.183826793302166e-06,1.9622060808496427e-06,4.1077969752501997e-07,9.136303255208333e-07,1.9054413052883398e-06,,,,,,,,,,,,,,,,,,,,
77.0,2.3280096450549433e-07,3.4724831710624456e-06,4.5441647489377295e-07,1.425053206380208e-07,1.576428361337059e-05,2.155944650845271e-06,1.3275804949322641e-06,9.396125718858507e-08,4.600809097362148e-07,2.2879315719213806e-07,5.675615143016647e-07,4.996895193550284e-07,4.228094426872719e-07,4.205701182985647e-07,3.061983506283075e-07,1.369807976367466e-06,1.3433354256586835e-07,2.4716574652004204e-06,2.8103091529952875e-07,2.1630017691134713e-07,2.1895040720299346e-07,3.8888921783958795e-07,1.2054084776264946e-07,1.740007372370859e-06,1.5197527683640455e-06,2.572075138784982e-06,1.6789571223958332e-07,2.2060816040411377e-07,4.129274170451334e-07,5.490273400150007e-07,2.9789323775983077e-06,1.4912289619580247e-06,1.3297198713383786e-06,1.3720349671513918e-07,3.842403171634941e-07,1.0986047289305607e-06,1.1888164915332409e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,1.5129279524739585e-07,4.190792151129107e-07,4.545418707965972e-07,4.0261088491353346e-07,4.477872425737007e-07,3.433341108457083e-07,1.3739419865856423e-05,1.1115436159326152e-06,1.107882595533959e-06,1.357383233320869e-07,6.529995355263437e-07,1.6929317057291664e-07,3.409746997408575e-07,2.7315359253627836e-07,3.6505313302913353e-06,8.46022853608186e-07,1.6084940668923015e-05,6.73672766040051e-07,4.462053313999548e-07,7.91483193025275e-07,4.910613086761194e-07,4.7428880042644936e-07,1.5104438430906548e-06,1.4262631748459407e-06,2.450212753387364e-06,4.301040937864391e-06,9.302470559895834e-07,1.9361602135416667e-06,1.9847568494619016e-06,1.2300030633661585e-05,2.3971737223977504e-07,8.410275999705576e-07,1.488885632998381e-06,8.733302864019573e-07,3.183157556360247e-07,2.2532174683159724e-07,3.1730125602822443e-06,9.013738400065105e-08,6.95567549334927e-07,2.12401498828125e-07,4.6021620836779e-07,3.954173941750595e-07,2.021135287109375e-07,4.7442042660720207e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79.0,1.1761710715334643e-07,7.543405837037037e-06,1.050292389384618e-06,1.9480624168836806e-07,1.4517179863803662e-05,8.820114961854855e-06,4.0202156448109026e-07,2.856112574151309e-07,2.392940716473763e-07,2.2669294356551804e-07,1.5606388962645913e-06,1.7413954526193733e-06,4.287972701855643e-07,1.8186229036458332e-07,3.108115220777125e-07,1.5927108626302085e-07,7.442459055088823e-07,1.542551391066994e-06,2.1855468129530922e-07,3.078157011510902e-07,9.035774184841579e-08,4.8576902112513615e-06,1.2160289246662528e-06,4.673130292920622e-06,4.0598175701157207e-07,5.126168868798929e-07,2.0163001596147345e-06,2.385338725596991e-06,4.165204428507098e-07,9.561215130208335e-07,1.3876093765945945e-05,1.2626057670608707e-05,3.427841376099954e-07,6.481938310953476e-07,3.9234569246570235e-07,3.3571111043618484e-07,8.791947464578938e-07,2.0952142265624998e-06,9.656055134212133e-07,3.098373212570799e-07,6.747146830519675e-07,1.296660499603193e-06,1.047266977320654e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.0,2.463808463203707e-07,6.291490467663518e-07,9.461515550759327e-06,1.2306267845675208e-06,1.0906765618697773e-06,1.617643110823384e-06,9.849663776041666e-07,1.7477291573077495e-06,1.8196507054560265e-05,3.0930164308333965e-07,2.3388819400952623e-07,7.162526725729597e-07,1.1322896313795884e-06,8.528305721130836e-07,4.277511843640695e-07,2.136160046875e-06,1.261081097859475e-06,8.354603249968768e-06,4.2256265550574055e-07,4.096818223315613e-07,4.6214848313060205e-07,1.1646500097034472e-06,1.5152829918438724e-06,1.5417918947107752e-06,5.258942476124922e-06,1.0327835815047807e-06,3.712724870080733e-06,2.5985163207397093e-06,1.4002150310088458e-05,1.3502300133256583e-06,5.509674820520655e-07,3.426980577334266e-07,1.0446420821098349e-06,5.313946120405274e-07,6.833969572521128e-07,2.833422277657296e-07,9.022041191711944e-07,2.838112797637287e-06,2.57885523124702e-06,6.162661399345717e-07,2.6072504827184095e-06,1.6290709737829012e-05,1.4332154994754873e-06,2.721338696141837e-06,1.8761912428385417e-07,2.4858098404947915e-07,1.7257075944010412e-07,2.4722713737561144e-06,2.4209815986689584e-07,2.1528686901465964e-07,2.52794517055041e-06,,,,,,,,,,,,,,,,,,,,,
81.0,9.099616887038042e-07,5.538257721472918e-07,2.3711354836706254e-07,1.2485885851020244e-05,1.6416610643808951e-06,1.0163542599233708e-06,1.225944412778508e-05,1.3973618767768745e-05,1.1991197294133146e-06,5.340876670697499e-06,3.3969178311437407e-07,7.983836598524678e-07,4.401917406262619e-06,1.3936957355867691e-06,1.3764635753998605e-06,6.235830171991175e-07,1.4434871048484035e-06,3.4513757565563216e-07,1.2646029478480332e-06,3.7405026953124997e-07,4.0451435432188986e-07,6.224547347017327e-06,1.7770196790762542e-06,1.2531894311734313e-06,2.6440151598154734e-06,1.5792707682849672e-06,5.6505599361248705e-06,6.470241385356183e-06,2.9120188224909273e-06,6.9464308456456094e-06,6.7656887961438074e-06,3.611395006521257e-06,1.7905189603720658e-06,7.781656115033879e-07,1.7242770475260418e-07,2.3356341352562683e-07,2.0632432958818456e-06,1.093721495442974e-06,1.360569253527811e-05,2.3391641241674172e-07,3.111922192638675e-07,1.359758476299977e-06,6.19218203748594e-06,8.657325294053819e-08,4.7042746201284964e-06,1.3093969555616205e-06,1.6160456413670045e-06,5.818975674072706e-06,2.2488158828125e-06,6.783930158933315e-07,1.6229275444085604e-05,2.1314100384666327e-07,7.163289895127564e-07,1.4874418776791196e-07,3.019675539632667e-07,1.742514835283344e-06,3.057586824490319e-07,1.8035825649956596e-07,1.0152877057291669e-06,,,,,,,,,,,,,
82.0,7.199507856850895e-07,2.0846838920944545e-06,2.0176851712373732e-06,3.607061032075489e-07,5.976226535297508e-06,5.584407672464986e-06,4.90555543034464e-07,2.100781521545109e-07,5.7961025360817134e-06,2.0575549186374177e-07,2.114302503279062e-07,4.1679498956916295e-07,5.678520945331822e-07,1.2634591695566991e-06,6.45177461812883e-07,1.806330315798613e-06,2.811328212170201e-06,9.021555388726128e-08,3.486013978961182e-07,3.547338164530476e-07,8.252257561901223e-07,3.0689978277192593e-07,6.392232960035057e-06,6.112225092781905e-07,1.000986945586695e-05,5.165620980316524e-07,1.1126226592083666e-06,1.1943728455857783e-05,4.077550329667116e-07,9.894315559645528e-06,1.102696907711349e-05,1.1515100414906325e-05,1.2396883476016726e-05,1.553473265308924e-05,1.058990376277353e-06,2.931888483082315e-07,1.1080313521690822e-06,3.54764306086168e-07,3.1695310052506485e-06,1.7157814322916666e-07,8.457871450354465e-07,1.0358833266599782e-06,1.4816466298691532e-06,4.976267831217927e-06,9.90483670396099e-07,1.3992412394233514e-05,2.3210252239597742e-05,4.387436111453314e-07,2.4461068541666667e-06,8.578923244933754e-06,7.267800159869162e-06,4.710479216970712e-06,6.369102691033018e-07,8.238589661876362e-06,1.8717383067971015e-06,2.692066076864867e-06,4.1219622401700457e-07,3.430521191131446e-07,5.44576222008685e-07,,,,,,,,,,,,,
83.0,4.0698126560819876e-07,5.846754716796876e-07,6.645112831758668e-06,1.3681074893422907e-06,3.155862429047074e-07,6.387255473753909e-07,2.175404485984577e-06,2.509837899966476e-06,3.496136371035056e-07,1.769334091761259e-06,3.2339603944548075e-07,1.3887150624233865e-07,9.453862499893214e-07,1.4861146560326666e-07,1.161303498780688e-06,1.6143091275769425e-05,2.3600375525941296e-07,2.0954797074999075e-07,6.993494282431164e-07,5.517262616809605e-07,5.165879566563656e-07,5.172382985590293e-07,1.766829177786021e-06,2.439270641033946e-07,5.951476886541811e-07,1.1379925896122595e-05,1.7208748902378764e-06,1.087832364595585e-05,1.635137217238744e-06,1.1256525702314895e-05,9.818825494415328e-07,6.057653302805507e-07,1.4266974943049364e-06,4.890208293537607e-07,1.0648710618860331e-05,1.0622127588853483e-05,1.4033679283830492e-05,1.4002731850836254e-05,1.637792819281684e-07,3.2147729479307722e-06,3.5694915795665133e-06,8.508238265370466e-07,2.83326434037644e-07,1.4051483615346493e-05,6.224091092211066e-07,1.0742528427252716e-05,4.961722655057119e-07,3.8252268785729377e-07,1.0503348489583334e-06,3.308541368833242e-07,3.9803610558911236e-07,1.7570857501088432e-06,1.7408541418870414e-06,8.929759516387269e-07,9.214710299750434e-08,1.3725171159013279e-06,2.701737885416667e-06,1.5830390071614584e-07,3.859118007872886e-06,1.2689986221766664e-06,,,,,,,,,,,,
84.0,7.946057902356993e-06,1.1005864433593748e-06,4.797340208576378e-07,1.2136662453124094e-06,1.1860594866387683e-06,8.260924481969155e-06,1.6846403411376975e-06,6.599902477454508e-07,7.5572101615225865e-06,5.041964518330006e-06,1.1389860705674051e-05,2.5496059665774855e-07,1.090866403645833e-06,7.757192983160398e-07,7.662256269164986e-07,1.7684079187774647e-06,2.2431805139742276e-06,1.1119529431813275e-06,1.1773162165167753e-06,7.42135470887697e-07,9.83786685354311e-07,2.011649467352286e-06,4.177033314247634e-06,6.774309020727005e-07,5.504778822489909e-07,1.921273083363689e-06,6.982913659004828e-07,1.2882557997718275e-06,2.540222716601643e-06,6.886178372193629e-07,3.8479199335514934e-07,2.7879440338541666e-06,1.3869684529604612e-06,6.904910511514598e-07,9.463380926649305e-08,7.065298899270277e-07,4.746032049909344e-06,2.957951675148151e-06,3.608419759204942e-07,4.8383848620478206e-06,6.506489707182661e-07,1.7363071574968024e-06,1.273307465430025e-05,1.1666437676563582e-05,9.654488744498594e-07,1.7957628637726993e-06,1.490779587472299e-07,2.8247396953387513e-06,2.0731091173066903e-07,2.0823285067468844e-07,5.385227666579011e-07,2.3778278991176483e-07,8.090740354199837e-07,4.551944240688081e-07,,,,,,,,,,,,,,,,,,
